PLU;REFERENCIA;MARCA;COSTO
3004389;HUAWEI P20 SGLE SIM LTE BLACK;HUAWEI;1613325
3004091;IPHONE 6S SPACE GRAY 32GB-LAE MN0W2LZ/A;APPLE;1152582
3004542;MOTOROLA G6 PLUS DUALSIM BLUE;MOTOROLA;707062
3004548;MOTOROLA G7 DSIM BLACK;MOTOROLA;765955
3004550;HUAWEI PSMART 2019 DSIM BLACK;HUAWEI;660279
3004428;HUAWEI Y5 2018 DUALSIM BLACK;HUAWEI;361668
3004552;HUAWEI Y7 2019 DSIM BLACK;HUAWEI;552925
3004549;MOTOROLA G7 DSIM WHITE;MOTOROLA;738059
3004543;MOTOROLA ONE DS BLACK;MOTOROLA;691995
3004409;MOTOROLA G6 DUALSIM BLUE;MOTOROLA;638963
3004429;HUAWEI Y5 2018 DUALSIM GOLD;HUAWEI;359397
3004551;HUAWEI PSMART 2019 DSIM BLUE;HUAWEI;659033
3004547;MOTOROLA G7 PLAY DSIM GOLD;MOTOROLA;558788
3004553;HUAWEI Y7 2019 DSIM BLUE;HUAWEI;548028
3004412;MOTOROLA E5 PLUS DUALSIM GOLD;MOTOROLA;546622
3004448;MOTOROLA E5 PLAY DUALSIM GOLD;MOTOROLA;366501
3004484;IPHONE XS MAX GOLD 64GB-LAE;APPLE;3609424
3004555;HUAWEI Y6 2019 DSIM BLUE;HUAWEI;438903
3004546;MOTOROLA G7 PLAY DSIM BLUE;MOTOROLA;560754
3004475;IPHONE XS GOLD 64GB-LAE;APPLE;3279448
3004217;MOTOROLA MOTO C LTE NEGRO DUAL SIM;MOTOROLA;217520
3004411;MOTOROLA E5 PLUS DUALSIM GRIS;MOTOROLA;577386
3004554;HUAWEI Y6 2019 DSIM BLACK;HUAWEI;440070
3004418;AMGOO A1 DUALSIM WHITE;AMGOO;143639
3004571;HUAWEI Y9 2019  DGLESIM BLACK;HUAWEI;712356
3004572;HUAWEI Y9 2019  DGLESIM BLUE;HUAWEI;685060
3004559;SAMSUNG J2 CORE 8GB DSIM BLACK;SAMSUNG;258103
3004544;MOTOROLA ONE DS WHITE;MOTOROLA;792264
3004371;HUAWEI P SMART SINGLE SIM LTE GOLD;HUAWEI;657739
3004556;SAMSUNG J2 CORE 8GB DSIM GOLD;SAMSUNG;258105
3004524;SAMSUNG J8 DUALSIM LTE BLACK;SAMSUNG;633686
3004545;MOTOROLA G7 PLUS DSIM BLUE;MOTOROLA;1050960
3004483;IPHONE XS MAX SILVER 64GB-LAE;APPLE;3609424
3004482;IPHONE XS MAX SPACE GRAY 64GB-LAE;APPLE;3609424
3004522;HUAWEI P20 LITE SGLE SIM LTE BLACK;HUAWEI;685925
3004478;IPHONE XS GOLD 256GB-LAE;APPLE;3767812
3004512;HUAWEI Y9 2019  SGLESIM BLACK;HUAWEI;754654
3004477;IPHONE XS SILVER 256GB-LAE;APPLE;3767812
3004476;IPHONE XS SPACE GRAY 256GB-LAE;APPLE;3767812
3004525;SAMSUNG J8 DUALSIM LTE GOLD;SAMSUNG;631368
3004580;HUAWEI P30 LITE DSIM BLACK;HUAWEI;969826
3004447;MOTOROLA E5 PLAY DUALSIM BLACK;MOTOROLA;363710
3004370;HUAWEI P SMART SINGLE SIM LTE BLACK;HUAWEI;663689
3004491;HUAWEI MATE 20 SGLESIM BLACK;HUAWEI;2495905
3004557;SAMSUNG A9 2018 DSIM BLACK;SAMSUNG;1561014
3004446;MOTOROLA G6 DUALSIM SILVER;MOTOROLA;661893
3004463;SAMSUNG GALAXY NOTE9 DS BLACK;SAMSUNG;2940338
3004514;SAMSUNG J4 PLUS DSIM  BLACK;SAMSUNG;496805
3004451;HUAWEI Y6 2018 SGLESIM GOLD;HUAWEI;423022
3004498;IPHONE XR BLUE 64GB-LAE;APPLE;2457048
3004494;IPHONE XR RED 64GB-LAE;APPLE;2457048
3004513;HUAWEI Y9 2019  SGLESIM BLUE;HUAWEI;753975
3004464;SAMSUNG GALAXY NOTE9 DS BLUE;SAMSUNG;2929202
3004566;SAMSUNG GALAXY S10e DSIM BLACK 128GB;SAMSUNG;1966328
3004558;SAMSUNG A9 2018 DSIM BLUE;SAMSUNG;1561524
3004567;SAMSUNG GALAXY S10e DSIM BLUE 128GB;SAMSUNG;1966385
3004511;HUAWEI MATE 20 LITE SGLESIM GOLD;HUAWEI;1029309
3004563;SAMSUNG GALAXY S10+ DSIM BLACK 128GB;SAMSUNG;2889947
3004578;HUAWEI P30 SGLESIM TWILIGHT;HUAWEI;1942323
3004576;HUAWEI P30 SGLESIM BLACK;HUAWEI;1942324
3004523;HUAWEI P20 LITE SGLESIM BLUE;HUAWEI;680078
3004492;IPHONE XR BLACK 64GB-LAE;APPLE;2457048
3004561;SAMSUNG GALAXY S10 DSIM BLUE 128GB;SAMSUNG;2584325
3004577;HUAWEI P30 SGLESIM BLUE;HUAWEI;1942323
3004515;SAMSUNG J4 PLUS DSIM  GOLD;SAMSUNG;495514
3004493;IPHONE XR WHITE 64GB-LAE;APPLE;2457048
