FCT_DT_KEY;NOMBRE_CANAL;PLU
20190501;RETAIL;3004555
20190501;RETAIL;3004553
20190501;RETAIL;3004428
20190501;RETAIL;3004371
20190501;RETAIL;3004217
20190501;RETAIL;3004418
20190501;RETAIL;3004451
20190501;RETAIL;3004547
20190501;RETAIL;3004559
20190501;RETAIL;3004553
20190501;RETAIL;3004217
20190501;RETAIL;3004553
20190501;RETAIL;3004412
20190501;RETAIL;3004555
20190501;RETAIL;3004412
20190501;RETAIL;3004548
20190501;RETAIL;3004409
20190501;RETAIL;3004217
20190501;RETAIL;3004548
20190501;RETAIL;3004548
20190501;RETAIL;3004418
20190501;RETAIL;3004448
20190501;RETAIL;3004412
20190501;RETAIL;3004554
20190501;RETAIL;3004411
20190501;RETAIL;3004428
20190501;RETAIL;3004555
20190501;RETAIL;3004552
20190501;RETAIL;3004418
20190501;RETAIL;3004217
20190501;RETAIL;3004428
20190501;RETAIL;3004429
20190501;RETAIL;3004429
20190501;RETAIL;3004548
20190501;RETAIL;3004552
20190501;RETAIL;3004555
20190501;RETAIL;3004546
20190501;RETAIL;3004553
20190501;RETAIL;3004559
20190501;RETAIL;3004428
20190501;RETAIL;3004429
20190501;RETAIL;3004553
20190501;RETAIL;3004412
20190501;RETAIL;3004409
20190501;RETAIL;3004553
20190501;RETAIL;3004553
20190501;RETAIL;3004418
20190501;RETAIL;3004448
20190501;RETAIL;3004412
20190501;RETAIL;3004547
20190501;RETAIL;3004553
20190501;RETAIL;3004448
20190501;RETAIL;3004548
20190501;RETAIL;3004418
20190501;RETAIL;3004412
20190501;RETAIL;3004554
20190501;RETAIL;3004552
20190501;RETAIL;3004418
20190501;RETAIL;3004418
20190501;RETAIL;3004552
20190501;RETAIL;3004547
20190501;RETAIL;3004553
20190501;RETAIL;3004418
20190501;RETAIL;3004550
20190501;RETAIL;3004217
20190501;RETAIL;3004429
20190501;RETAIL;3004553
20190501;RETAIL;3004555
20190501;RETAIL;3004428
20190501;RETAIL;3004418
20190501;RETAIL;3004555
20190501;RETAIL;3004552
20190501;RETAIL;3004552
20190501;RETAIL;3004553
20190501;RETAIL;3004418
20190501;RETAIL;3004418
20190501;RETAIL;3004548
20190501;RETAIL;3004429
20190501;RETAIL;3004418
20190501;RETAIL;3004428
20190501;RETAIL;3004546
20190501;RETAIL;3004555
20190501;RETAIL;3004524
20190501;RETAIL;3004553
20190501;RETAIL;3004448
20190501;RETAIL;3004417
20190501;RETAIL;3004553
20190501;RETAIL;3004412
20190501;RETAIL;3004428
20190501;RETAIL;3004546
20190501;RETAIL;3004555
20190501;RETAIL;3004418
20190501;RETAIL;3004554
20190501;RETAIL;3004547
20190501;RETAIL;3004552
20190501;RETAIL;3004550
20190501;RETAIL;3004217
20190501;RETAIL;3004409
20190501;RETAIL;3004549
20190501;RETAIL;3004428
20190501;RETAIL;3004554
20190501;RETAIL;3004429
20190501;RETAIL;3004428
20190501;RETAIL;3004409
20190501;RETAIL;3004553
20190501;RETAIL;3004553
20190501;RETAIL;3004553
20190501;RETAIL;3004552
20190501;RETAIL;3004428
20190501;RETAIL;3004555
20190501;RETAIL;3004548
20190501;RETAIL;3004418
20190501;RETAIL;3004217
20190501;RETAIL;3004438
20190501;RETAIL;3004217
20190501;RETAIL;3004411
20190501;RETAIL;3004553
20190501;RETAIL;3004429
20190501;RETAIL;3004555
20190501;RETAIL;3004555
20190501;RETAIL;3004553
20190501;RETAIL;3004555
20190501;RETAIL;3004418
20190501;RETAIL;3004554
20190501;RETAIL;3004554
20190501;RETAIL;3004556
20190501;RETAIL;3004552
20190501;RETAIL;3004546
20190501;RETAIL;3004547
20190501;RETAIL;3004554
20190503;TIENDA PROPIA;3004217
20190502;TIENDA PROPIA;3004217
20190501;RETAIL;3004418
20190501;RETAIL;3004429
20190501;RETAIL;3004555
20190501;RETAIL;3004555
20190501;RETAIL;3004559
20190501;RETAIL;3004548
20190501;RETAIL;3004418
20190501;RETAIL;3004552
20190501;RETAIL;3004416
20190501;RETAIL;3004553
20190501;RETAIL;3004217
20190501;RETAIL;3004554
20190501;RETAIL;3004553
20190501;RETAIL;3004428
